IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.193.65,2082,2082,false,SIN,Asia Pacific,Singapore,341,5.57
47.236.97.90,8880,8880,false,SIN,Asia Pacific,Singapore,285,5.43
47.236.144.156,8080,8080,false,SIN,Asia Pacific,Singapore,324,4.89
8.222.193.65,2083,2083,true,SIN,Asia Pacific,Singapore,323,4.63
47.236.123.133,8880,8880,false,SIN,Asia Pacific,Singapore,289,4.59
8.219.198.139,80,80,false,SIN,Asia Pacific,Singapore,278,4.52
47.236.232.148,2086,2086,false,SIN,Asia Pacific,Singapore,265,4.51
8.219.189.143,8880,8880,false,SIN,Asia Pacific,Singapore,262,4.48
47.236.232.148,80,80,false,SIN,Asia Pacific,Singapore,285,4.46
47.245.105.224,8880,8880,false,SIN,Asia Pacific,Singapore,287,4.41
47.236.9.152,8880,8880,false,SIN,Asia Pacific,Singapore,265,4.40
138.2.104.102,443,443,true,SIN,Asia Pacific,Singapore,227,4.25
47.237.92.26,8880,8880,false,SIN,Asia Pacific,Singapore,258,4.25
47.237.83.20,2086,2086,false,SIN,Asia Pacific,Singapore,338,4.23
47.236.83.239,2082,2082,false,SIN,Asia Pacific,Singapore,249,4.19
47.236.172.71,2087,2087,true,SIN,Asia Pacific,Singapore,297,4.18
47.236.144.208,80,80,false,SIN,Asia Pacific,Singapore,323,4.18
47.236.172.71,80,80,false,SIN,Asia Pacific,Singapore,272,4.15
47.237.125.8,2052,2052,false,SIN,Asia Pacific,Singapore,336,4.15
47.236.9.152,8080,8080,false,SIN,Asia Pacific,Singapore,289,4.14
47.236.97.90,8080,8080,false,SIN,Asia Pacific,Singapore,269,4.10
47.237.11.182,2082,2082,false,SIN,Asia Pacific,Singapore,348,4.04
47.237.121.38,2086,2086,false,SIN,Asia Pacific,Singapore,298,4.04
47.236.80.110,2053,2053,true,SIN,Asia Pacific,Singapore,359,4.03
47.236.118.216,2083,2083,true,SIN,Asia Pacific,Singapore,305,4.02
47.236.169.141,2083,2083,true,SIN,Asia Pacific,Singapore,266,4.02
8.219.60.54,80,80,false,SIN,Asia Pacific,Singapore,307,4.02
47.236.75.113,8080,8080,false,SIN,Asia Pacific,Singapore,299,4.00
47.236.75.113,8880,8880,false,SIN,Asia Pacific,Singapore,290,3.98
47.236.167.231,80,80,false,SIN,Asia Pacific,Singapore,278,3.95
47.236.17.193,2086,2086,false,SIN,Asia Pacific,Singapore,265,3.93
8.218.132.209,80,443,true,SIN,Asia Pacific,Singapore,42,3.92
47.236.17.193,2082,2082,false,SIN,Asia Pacific,Singapore,268,3.89
47.236.174.206,80,80,false,SIN,Asia Pacific,Singapore,329,3.88
47.237.84.173,2082,2082,false,SIN,Asia Pacific,Singapore,320,3.88
8.219.50.180,2086,2086,false,SIN,Asia Pacific,Singapore,367,3.88
47.236.97.90,8443,8443,true,SIN,Asia Pacific,Singapore,259,3.85
47.236.167.231,2086,2086,false,SIN,Asia Pacific,Singapore,268,3.84
8.219.49.65,2096,2096,true,SIN,Asia Pacific,Singapore,274,3.84
47.237.10.1,2083,2083,true,SIN,Asia Pacific,Singapore,303,3.83
47.237.86.185,2095,2095,false,SIN,Asia Pacific,Singapore,306,3.83
47.245.84.124,2053,2053,true,SIN,Asia Pacific,Singapore,298,3.81
47.238.48.153,80,443,true,SIN,Asia Pacific,Singapore,52,3.79
47.245.114.163,2096,2096,true,SIN,Asia Pacific,Singapore,304,3.76
47.237.94.140,2087,2087,true,SIN,Asia Pacific,Singapore,350,3.74
47.236.164.215,8443,8443,true,SIN,Asia Pacific,Singapore,312,3.71
8.219.198.139,2096,2096,true,SIN,Asia Pacific,Singapore,257,3.71
47.236.75.113,2095,2095,false,SIN,Asia Pacific,Singapore,287,3.70
47.236.172.71,8880,8880,false,SIN,Asia Pacific,Singapore,275,3.70
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,254,3.66
47.236.75.152,2083,2083,true,SIN,Asia Pacific,Singapore,269,3.66
47.236.118.216,8880,8880,false,SIN,Asia Pacific,Singapore,313,3.66
47.237.0.31,2052,2052,false,SIN,Asia Pacific,Singapore,356,3.65
47.236.5.223,2096,2096,true,SIN,Asia Pacific,Singapore,305,3.63
47.237.95.156,2095,2095,false,SIN,Asia Pacific,Singapore,360,3.63
47.236.149.107,2082,2082,false,SIN,Asia Pacific,Singapore,277,3.62
47.76.254.36,80,443,true,KUL,Asia Pacific,Kuala Lumpur,43,3.59
47.237.81.112,2087,2087,true,SIN,Asia Pacific,Singapore,332,3.59
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,265,3.56
47.237.92.26,2083,2083,true,SIN,Asia Pacific,Singapore,256,3.54
47.237.95.13,80,80,false,SIN,Asia Pacific,Singapore,346,3.54
8.219.202.130,80,80,false,SIN,Asia Pacific,Singapore,280,3.52
47.236.117.48,2087,2087,true,SIN,Asia Pacific,Singapore,287,3.49
8.219.189.143,2095,2095,false,SIN,Asia Pacific,Singapore,264,3.49
47.236.118.216,8080,8080,false,SIN,Asia Pacific,Singapore,311,3.48
8.219.198.139,8880,8880,false,SIN,Asia Pacific,Singapore,278,3.46
47.237.11.182,8880,8880,false,SIN,Asia Pacific,Singapore,282,3.46
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,263,3.44
47.237.8.82,2083,2083,true,SIN,Asia Pacific,Singapore,301,3.43
47.236.150.13,2095,2095,false,SIN,Asia Pacific,Singapore,338,3.42
47.237.92.26,2086,2086,false,SIN,Asia Pacific,Singapore,265,3.38
47.245.105.224,2053,2053,true,SIN,Asia Pacific,Singapore,251,3.35
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,273,3.32
47.236.232.148,2082,2082,false,SIN,Asia Pacific,Singapore,264,3.31
8.219.161.129,2096,2096,true,SIN,Asia Pacific,Singapore,266,3.31
47.236.93.176,2082,2082,false,SIN,Asia Pacific,Singapore,264,3.30
47.236.149.107,2095,2095,false,SIN,Asia Pacific,Singapore,278,3.30
47.245.114.163,2086,2086,false,SIN,Asia Pacific,Singapore,303,3.29
47.236.83.239,80,80,false,SIN,Asia Pacific,Singapore,295,3.29
47.236.118.216,2052,2052,false,SIN,Asia Pacific,Singapore,268,3.29
47.236.167.231,2096,2096,true,SIN,Asia Pacific,Singapore,267,3.28
8.219.189.143,80,80,false,SIN,Asia Pacific,Singapore,264,3.28
47.237.125.8,80,80,false,SIN,Asia Pacific,Singapore,337,3.28
8.219.87.30,80,80,false,SIN,Asia Pacific,Singapore,305,3.26
47.236.5.223,8080,8080,false,SIN,Asia Pacific,Singapore,267,3.25
47.237.95.156,80,80,false,SIN,Asia Pacific,Singapore,278,3.25
8.219.50.180,2053,2053,true,SIN,Asia Pacific,Singapore,359,3.24
47.237.84.173,80,80,false,SIN,Asia Pacific,Singapore,296,3.24
47.236.172.71,2086,2086,false,SIN,Asia Pacific,Singapore,295,3.23
47.245.102.52,2053,2053,true,SIN,Asia Pacific,Singapore,319,3.20
8.219.49.65,8080,8080,false,SIN,Asia Pacific,Singapore,269,3.17
47.236.205.188,2053,2053,true,SIN,Asia Pacific,Singapore,382,3.16
47.245.105.224,8080,8080,false,SIN,Asia Pacific,Singapore,261,3.15
47.245.114.163,2082,2082,false,SIN,Asia Pacific,Singapore,306,3.14
47.236.174.206,2052,2052,false,SIN,Asia Pacific,Singapore,324,3.14
47.236.123.133,2095,2095,false,SIN,Asia Pacific,Singapore,278,3.12
47.237.95.140,2082,2082,false,SIN,Asia Pacific,Singapore,316,3.11
47.236.97.90,2086,2086,false,SIN,Asia Pacific,Singapore,286,3.10
47.236.164.215,2082,2082,false,SIN,Asia Pacific,Singapore,260,3.09
8.219.49.65,2082,2082,false,SIN,Asia Pacific,Singapore,262,3.08
47.237.84.173,2052,2052,false,SIN,Asia Pacific,Singapore,254,3.07
47.245.105.224,2086,2086,false,SIN,Asia Pacific,Singapore,257,3.06
47.236.144.208,2095,2095,false,SIN,Asia Pacific,Singapore,311,3.06
47.236.155.210,2053,443,true,SIN,Asia Pacific,Singapore,343,3.05
47.236.171.205,2083,2083,true,SIN,Asia Pacific,Singapore,322,3.03
47.236.189.92,2096,2096,true,SIN,Asia Pacific,Singapore,279,3.03
8.222.193.65,443,443,true,SIN,Asia Pacific,Singapore,250,3.02
47.237.0.31,2082,2082,false,SIN,Asia Pacific,Singapore,272,3.02
47.237.11.182,2095,2095,false,SIN,Asia Pacific,Singapore,284,3.02
47.236.169.141,8880,8880,false,SIN,Asia Pacific,Singapore,297,3.00
47.236.254.120,2086,2086,false,SIN,Asia Pacific,Singapore,261,3.00
47.236.117.48,2052,2052,false,SIN,Asia Pacific,Singapore,308,2.98
47.237.95.156,2082,2082,false,SIN,Asia Pacific,Singapore,333,2.97
47.245.84.124,8880,8880,false,SIN,Asia Pacific,Singapore,281,2.97
47.236.144.48,80,80,false,SIN,Asia Pacific,Singapore,306,2.95
47.237.8.82,8880,8880,false,SIN,Asia Pacific,Singapore,306,2.93
47.236.169.15,8080,8080,false,SIN,Asia Pacific,Singapore,360,2.93
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,332,2.92
213.35.98.64,443,443,true,SIN,Asia Pacific,Singapore,260,2.91
47.236.144.48,2052,2052,false,SIN,Asia Pacific,Singapore,271,2.91
8.219.67.133,2096,2096,true,SIN,Asia Pacific,Singapore,358,2.91
47.237.14.220,8880,8880,false,SIN,Asia Pacific,Singapore,311,2.90
47.236.144.196,2052,2052,false,SIN,Asia Pacific,Singapore,267,2.89
8.219.87.30,2095,2095,false,SIN,Asia Pacific,Singapore,301,2.88
8.219.189.143,2082,2082,false,SIN,Asia Pacific,Singapore,266,2.86
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,265,2.86
47.237.81.112,8880,8880,false,SIN,Asia Pacific,Singapore,329,2.86
47.236.102.102,2052,2052,false,SIN,Asia Pacific,Singapore,275,2.85
47.237.84.173,2096,2096,true,SIN,Asia Pacific,Singapore,259,2.84
47.237.11.182,80,80,false,SIN,Asia Pacific,Singapore,267,2.83
47.236.145.85,80,80,false,SIN,Asia Pacific,Singapore,350,2.83
47.236.189.92,8443,8443,true,SIN,Asia Pacific,Singapore,358,2.83
47.236.97.90,2082,2082,false,SIN,Asia Pacific,Singapore,259,2.82
47.236.102.102,8880,8880,false,SIN,Asia Pacific,Singapore,262,2.82
47.236.146.249,8880,8880,false,SIN,Asia Pacific,Singapore,265,2.76
8.219.60.54,2086,2086,false,SIN,Asia Pacific,Singapore,313,2.76
47.245.114.163,80,80,false,SIN,Asia Pacific,Singapore,298,2.75
47.236.189.92,2086,2086,false,SIN,Asia Pacific,Singapore,339,2.74
47.237.11.182,2052,2052,false,SIN,Asia Pacific,Singapore,349,2.74
47.237.84.173,2095,2095,false,SIN,Asia Pacific,Singapore,302,2.73
47.236.169.15,80,80,false,SIN,Asia Pacific,Singapore,331,2.73
47.236.189.92,2087,2087,true,SIN,Asia Pacific,Singapore,293,2.72
47.237.125.8,2083,2083,true,SIN,Asia Pacific,Singapore,265,2.72
47.237.14.220,8080,8080,false,SIN,Asia Pacific,Singapore,303,2.70
47.237.86.185,8880,8880,false,SIN,Asia Pacific,Singapore,337,2.70
47.236.146.249,443,443,true,SIN,Asia Pacific,Singapore,293,2.69
47.236.150.13,8080,8080,false,SIN,Asia Pacific,Singapore,336,2.69
8.219.67.133,2086,2086,false,SIN,Asia Pacific,Singapore,356,2.67
47.236.171.205,80,80,false,SIN,Asia Pacific,Singapore,326,2.67
47.236.121.23,2086,2086,false,SIN,Asia Pacific,Singapore,335,2.67
47.236.164.215,2052,2052,false,SIN,Asia Pacific,Singapore,308,2.66
47.236.180.24,2052,2052,false,SIN,Asia Pacific,Singapore,316,2.66
47.236.145.85,2096,2096,true,SIN,Asia Pacific,Singapore,352,2.66
8.219.191.40,2095,2095,false,SIN,Asia Pacific,Singapore,279,2.65
8.219.49.65,2053,2053,true,SIN,Asia Pacific,Singapore,280,2.65
47.236.145.85,2053,2053,true,SIN,Asia Pacific,Singapore,337,2.65
47.236.232.148,2096,2096,true,SIN,Asia Pacific,Singapore,331,2.63
47.237.95.146,8880,8880,false,SIN,Asia Pacific,Singapore,329,2.63
47.236.171.205,2095,2095,false,SIN,Asia Pacific,Singapore,317,2.61
47.236.180.24,80,80,false,SIN,Asia Pacific,Singapore,335,2.61
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,44,2.61
8.219.60.54,2082,2082,false,SIN,Asia Pacific,Singapore,317,2.59
47.236.121.23,2082,2082,false,SIN,Asia Pacific,Singapore,331,2.59
47.236.172.71,2052,2052,false,SIN,Asia Pacific,Singapore,303,2.59
8.219.87.30,2086,2086,false,SIN,Asia Pacific,Singapore,309,2.58
47.237.121.38,2082,2082,false,SIN,Asia Pacific,Singapore,258,2.57
47.236.205.188,2083,2083,true,SIN,Asia Pacific,Singapore,371,2.57
47.236.170.54,2082,2082,false,SIN,Asia Pacific,Singapore,325,2.57
47.236.253.41,2086,2086,false,SIN,Asia Pacific,Singapore,327,2.57
47.236.180.24,2083,2083,true,SIN,Asia Pacific,Singapore,346,2.56
47.237.94.140,2095,2095,false,SIN,Asia Pacific,Singapore,273,2.55
47.236.144.196,8080,8080,false,SIN,Asia Pacific,Singapore,275,2.55
47.236.169.15,2086,2086,false,SIN,Asia Pacific,Singapore,353,2.55
47.237.14.220,2096,2096,true,SIN,Asia Pacific,Singapore,298,2.55
47.237.8.82,2052,2052,false,SIN,Asia Pacific,Singapore,318,2.55
47.236.93.176,80,80,false,SIN,Asia Pacific,Singapore,333,2.54
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,305,2.53
8.222.183.242,8880,8880,false,SIN,Asia Pacific,Singapore,314,2.53
47.236.232.148,8080,8080,false,SIN,Asia Pacific,Singapore,260,2.53
47.236.87.246,8080,8080,false,SIN,Asia Pacific,Singapore,263,2.50
47.236.144.208,2086,2086,false,SIN,Asia Pacific,Singapore,269,2.50
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,336,2.50
47.236.80.110,2052,2052,false,SIN,Asia Pacific,Singapore,364,2.50
47.237.82.15,2053,2053,true,SIN,Asia Pacific,Singapore,286,2.50
47.236.104.11,80,80,false,SIN,Asia Pacific,Singapore,260,2.48
47.236.164.215,8880,8880,false,SIN,Asia Pacific,Singapore,286,2.48
8.219.49.65,2087,2087,true,SIN,Asia Pacific,Singapore,273,2.47
47.237.100.206,2052,2052,false,SIN,Asia Pacific,Singapore,361,2.47
8.222.193.65,2095,2095,false,SIN,Asia Pacific,Singapore,374,2.46
47.236.9.152,2086,2086,false,SIN,Asia Pacific,Singapore,292,2.46
47.237.95.13,8880,8880,false,SIN,Asia Pacific,Singapore,324,2.45
47.237.10.1,8880,8880,false,SIN,Asia Pacific,Singapore,324,2.44
47.237.8.82,2082,2082,false,SIN,Asia Pacific,Singapore,298,2.44
47.236.117.48,2086,2086,false,SIN,Asia Pacific,Singapore,298,2.43
47.237.100.206,8880,8880,false,SIN,Asia Pacific,Singapore,348,2.43
47.236.172.95,8080,8080,false,SIN,Asia Pacific,Singapore,297,2.42
47.236.180.24,2095,2095,false,SIN,Asia Pacific,Singapore,346,2.42
47.237.95.146,2086,2086,false,SIN,Asia Pacific,Singapore,355,2.42
47.237.82.15,2082,2082,false,SIN,Asia Pacific,Singapore,263,2.41
47.237.100.206,2082,2082,false,SIN,Asia Pacific,Singapore,348,2.39
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,322,2.39
47.237.95.146,2095,2095,false,SIN,Asia Pacific,Singapore,348,2.38
8.219.161.129,2082,2082,false,SIN,Asia Pacific,Singapore,358,2.36
47.237.94.140,2096,2096,true,SIN,Asia Pacific,Singapore,299,2.34
47.238.48.58,80,443,true,SIN,Asia Pacific,Singapore,55,2.32
8.222.183.242,2096,2096,true,SIN,Asia Pacific,Singapore,310,2.31
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,322,2.30
47.236.87.246,2086,2086,false,SIN,Asia Pacific,Singapore,327,2.28
47.236.75.152,8880,8880,false,SIN,Asia Pacific,Singapore,265,2.26
47.236.164.215,2087,2087,true,SIN,Asia Pacific,Singapore,269,2.25
47.236.87.246,80,80,false,SIN,Asia Pacific,Singapore,311,2.25
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,351,2.24
47.237.82.15,2052,2052,false,SIN,Asia Pacific,Singapore,261,2.23
47.237.95.146,80,80,false,SIN,Asia Pacific,Singapore,322,2.23
47.237.0.31,2096,2096,true,SIN,Asia Pacific,Singapore,356,2.23
47.237.10.1,8080,8080,false,SIN,Asia Pacific,Singapore,259,2.19
47.236.166.131,8880,8880,false,SIN,Asia Pacific,Singapore,336,2.17
47.236.189.92,2082,2082,false,SIN,Asia Pacific,Singapore,364,2.17
8.222.183.242,8443,8443,true,SIN,Asia Pacific,Singapore,287,2.17
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,338,2.16
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,257,2.16
47.237.86.185,2086,2086,false,SIN,Asia Pacific,Singapore,339,2.15
47.236.174.206,2086,2086,false,SIN,Asia Pacific,Singapore,264,2.14
47.236.237.90,2053,2053,true,SIN,Asia Pacific,Singapore,297,2.14
47.236.121.23,8080,8080,false,SIN,Asia Pacific,Singapore,358,2.11
47.236.87.246,2052,2052,false,SIN,Asia Pacific,Singapore,345,2.11
50.114.55.57,33735,443,true,SIN,Asia Pacific,Singapore,228,2.09
47.236.180.24,8080,8080,false,SIN,Asia Pacific,Singapore,354,2.08
8.219.67.133,2082,2082,false,SIN,Asia Pacific,Singapore,347,2.08
47.236.75.152,2053,2053,true,SIN,Asia Pacific,Singapore,256,2.08
47.236.164.215,80,80,false,SIN,Asia Pacific,Singapore,311,2.07
8.219.67.133,8080,8080,false,SIN,Asia Pacific,Singapore,355,2.05
8.219.139.13,2086,2086,false,SIN,Asia Pacific,Singapore,370,2.05
47.236.205.188,8080,8080,false,SIN,Asia Pacific,Singapore,363,2.02
47.236.170.225,2086,2086,false,SIN,Asia Pacific,Singapore,352,2.02
47.236.164.215,2095,2095,false,SIN,Asia Pacific,Singapore,281,2.01
8.219.191.40,2082,2082,false,SIN,Asia Pacific,Singapore,255,2.00
47.237.86.185,2082,2082,false,SIN,Asia Pacific,Singapore,335,2.00
47.236.237.90,2095,2095,false,SIN,Asia Pacific,Singapore,300,1.99
47.236.172.95,80,80,false,SIN,Asia Pacific,Singapore,304,1.97
47.237.86.185,8080,8080,false,SIN,Asia Pacific,Singapore,349,1.95
47.236.205.188,2052,2052,false,SIN,Asia Pacific,Singapore,375,1.94
47.237.82.15,2087,2087,true,SIN,Asia Pacific,Singapore,255,1.94
47.236.75.152,2095,2095,false,SIN,Asia Pacific,Singapore,298,1.90
8.219.139.13,2095,2095,false,SIN,Asia Pacific,Singapore,372,1.90
8.219.50.180,2082,2082,false,SIN,Asia Pacific,Singapore,280,1.89
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,344,1.88
47.236.205.188,8880,8880,false,SIN,Asia Pacific,Singapore,363,1.88
47.237.0.31,80,80,false,SIN,Asia Pacific,Singapore,380,1.87
47.245.102.52,2083,2083,true,SIN,Asia Pacific,Singapore,320,1.85
47.236.97.90,2095,2095,false,SIN,Asia Pacific,Singapore,288,1.85
47.236.180.51,8880,8880,false,SIN,Asia Pacific,Singapore,305,1.83
8.222.244.192,2082,2082,false,SIN,Asia Pacific,Singapore,276,1.83
47.236.104.11,8880,8880,false,SIN,Asia Pacific,Singapore,290,1.82
47.236.17.193,80,80,false,SIN,Asia Pacific,Singapore,264,1.77
8.219.132.64,80,80,false,SIN,Asia Pacific,Singapore,315,1.77
47.236.164.215,2096,2096,true,SIN,Asia Pacific,Singapore,271,1.75
47.236.75.152,2052,2052,false,SIN,Asia Pacific,Singapore,297,1.75
47.237.86.185,2087,2087,true,SIN,Asia Pacific,Singapore,337,1.75
47.236.150.13,80,80,false,SIN,Asia Pacific,Singapore,302,1.74
8.219.161.129,8080,8080,false,SIN,Asia Pacific,Singapore,259,1.70
47.236.17.193,2095,2095,false,SIN,Asia Pacific,Singapore,272,1.68
47.236.10.182,8080,8080,false,SIN,Asia Pacific,Singapore,349,1.67
47.236.10.182,2086,2086,false,SIN,Asia Pacific,Singapore,339,1.65
47.236.10.182,2082,2082,false,SIN,Asia Pacific,Singapore,349,1.65
47.236.170.225,2082,2082,false,SIN,Asia Pacific,Singapore,330,1.60
8.222.193.65,2087,2087,true,SIN,Asia Pacific,Singapore,312,1.52
47.236.145.85,443,443,true,SIN,Asia Pacific,Singapore,328,1.52
47.236.189.92,80,80,false,SIN,Asia Pacific,Singapore,339,1.51
47.237.95.156,2086,2086,false,SIN,Asia Pacific,Singapore,274,1.48
8.219.191.40,2086,2086,false,SIN,Asia Pacific,Singapore,360,1.48
8.222.193.65,2096,2096,true,SIN,Asia Pacific,Singapore,270,1.48
47.236.10.182,8880,8880,false,SIN,Asia Pacific,Singapore,342,1.46
8.219.50.180,80,80,false,SIN,Asia Pacific,Singapore,277,1.44
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,255,1.42
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,326,1.38
47.237.84.173,8880,8880,false,SIN,Asia Pacific,Singapore,302,1.36
47.237.94.140,2083,2083,true,SIN,Asia Pacific,Singapore,279,1.32
47.245.102.52,2082,2082,false,SIN,Asia Pacific,Singapore,339,1.31
47.236.180.51,8443,8443,true,SIN,Asia Pacific,Singapore,270,1.18
8.219.161.129,8880,8880,false,SIN,Asia Pacific,Singapore,359,1.17
47.237.81.112,2052,2052,false,SIN,Asia Pacific,Singapore,331,1.14
47.236.80.110,8080,8080,false,SIN,Asia Pacific,Singapore,262,1.13
47.236.104.11,2095,2095,false,SIN,Asia Pacific,Singapore,264,1.12
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,254,1.05
47.237.11.182,8080,8080,false,SIN,Asia Pacific,Singapore,282,1.02
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,340,0.94
47.236.10.182,2087,2087,true,SIN,Asia Pacific,Singapore,347,0.89
8.222.244.192,8880,8880,false,SIN,Asia Pacific,Singapore,278,0.84
47.236.202.91,8443,8443,true,SIN,Asia Pacific,Singapore,254,0.84
47.236.10.182,8443,8443,true,SIN,Asia Pacific,Singapore,346,0.75
8.219.67.133,8880,8880,false,SIN,Asia Pacific,Singapore,355,0.73
47.236.104.11,2082,2082,false,SIN,Asia Pacific,Singapore,282,0.71
47.236.202.91,2082,2082,false,SIN,Asia Pacific,Singapore,360,0.67
8.222.214.231,2082,2082,false,SIN,Asia Pacific,Singapore,705,0.67
8.222.204.128,443,443,true,SIN,Asia Pacific,Singapore,300,0.66
47.236.202.91,8880,8880,false,SIN,Asia Pacific,Singapore,255,0.56
47.236.202.91,2083,2083,true,SIN,Asia Pacific,Singapore,343,0.51
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,347,0.48
47.236.10.100,2086,2086,false,SIN,Asia Pacific,Singapore,346,0.48
47.236.63.152,443,443,true,SIN,Asia Pacific,Singapore,296,0.38
47.237.83.20,2082,2082,false,SIN,Asia Pacific,Singapore,261,0.38
8.222.214.231,8880,8880,false,SIN,Asia Pacific,Singapore,699,0.21
47.236.10.182,80,80,false,SIN,Asia Pacific,Singapore,363,0.14
47.245.102.52,80,80,false,SIN,Asia Pacific,Singapore,335,0.13
5.253.36.177,33426,443,true,SIN,Asia Pacific,Singapore,131,0.05
96.0.147.114,80,80,false,SIN,Asia Pacific,Singapore,139,0.04
8.219.60.54,2053,2053,true,SIN,Asia Pacific,Singapore,311,0.00
47.236.165.25,2095,2095,false,SIN,Asia Pacific,Singapore,352,0.00
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,210,0.00
43.156.116.194,443,443,true,SIN,Asia Pacific,Singapore,223,0.00
54.169.46.224,443,443,true,SIN,Asia Pacific,Singapore,76,0.00
